filename,actual_age,raw_prediction,calibrated_prediction,error,gender
10_0_0_20161220222308131.jpg,10,49.7,32.1,39.7,male
10_0_0_20170110225013755.jpg,10,29.3,25.7,19.3,female
10_0_4_20170103201924664.jpg,10,51.1,32.6,41.1,female
10_1_0_20170109205003280.jpg,10,28.8,25.6,18.8,male
11_0_0_20170103200509559.jpg,11,31.5,26.4,20.5,male
11_0_0_20170110225254975.jpg,11,30.7,26.2,19.7,female
11_1_0_20170109203919852.jpg,11,35.8,27.8,24.8,male
11_1_0_20170109205216790.jpg,11,38.6,28.7,27.6,male
12_0_0_20170103200900511.jpg,12,59.9,35.3,47.9,female
12_0_4_20170103200908168.jpg,12,38.1,28.5,26.1,female
12_1_0_20170109203709140.jpg,12,21.6,23.3,9.6,male
12_1_3_20170104221704334.jpg,12,25.2,24.5,13.2,male
1_0_0_20161219140623097.jpg,1,47.1,31.3,46.1,male
1_0_2_20161219195130076.jpg,1,37.4,28.3,36.4,male
1_0_3_20161220223247506.jpg,1,40.6,29.3,39.6,male
1_1_2_20161219162243182.jpg,1,36.6,28,35.6,female
2_0_0_20161219154008997.jpg,2,27.4,25.1,25.4,male
2_0_2_20161219194955267.jpg,2,37.1,28.2,35.1,male
2_1_0_20170109191758501.jpg,2,40.1,29.1,38.1,female
2_1_2_20161219212055926.jpg,2,25.4,24.5,23.4,female
3_0_0_20161219154520213.jpg,3,44.8,30.6,41.8,male
3_0_2_20161219221714703.jpg,3,28.3,25.4,25.3,female
3_1_0_20170109193043837.jpg,3,35.8,27.8,32.8,male
3_1_2_20161219162958110.jpg,3,31.1,26.3,28.1,male
4_0_0_20161219192808843.jpg,4,37.6,28.3,33.6,female
4_0_2_20161219195053667.jpg,4,27.6,25.2,23.6,female
4_1_0_20170109193102653.jpg,4,43.2,30.1,39.2,female
4_1_2_20161219205035916.jpg,4,26.9,25,22.9,female
5_0_0_20170103205053570.jpg,5,31.9,26.6,26.9,female
5_0_2_20170109193500519.jpg,5,51.2,32.6,46.2,male
5_1_0_20170109193951363.jpg,5,54,33.5,49,female
5_1_2_20161219195855851.jpg,5,43.1,30.1,38.1,female
6_0_0_20170110213109002.jpg,6,43.4,30.2,37.4,female
6_1_0_20170109192722064.jpg,6,34.3,27.3,28.3,male
6_1_2_20161219140554092.jpg,6,36.3,27.9,30.3,female
6_1_3_20170104222751249.jpg,6,49.7,32.1,43.7,female
7_0_0_20161219201514284.jpg,7,35.5,27.7,28.5,female
7_0_0_20170110225126086.jpg,7,24.2,24.1,17.2,male
7_1_0_20170109201810385.jpg,7,46.3,31.1,39.3,female
7_1_3_20161220222847210.jpg,7,30.4,26.1,23.4,male
8_0_0_20170103200436055.jpg,8,35.9,27.8,27.9,male
8_1_0_20170109201053203.jpg,8,22.9,23.7,14.9,female
8_1_0_20170109204450889.jpg,8,37.6,28.3,29.6,male
8_1_3_20161220220407073.jpg,8,47.2,31.4,39.2,female
9_0_0_20170102235106821.jpg,9,41.4,29.5,32.4,male
9_0_0_20170110224736067.jpg,9,56.4,34.2,47.4,male
9_0_2_20170110224555634.jpg,9,55.5,34,46.5,female
