filename,actual_age,raw_prediction,calibrated_prediction,error,gender
10_1_0_20170109204617417.jpg,10,35.7,48.9,25.7,female
12_1_0_20170109205104124.jpg,12,32.3,21.2,20.3,male
14_1_0_20170103201911744.jpg,14,49,44.6,35,female
18_0_0_20170110231625906.jpg,18,37.3,61.9,19.3,male
19_1_3_20170104221847479.jpg,19,32.9,26.2,13.9,female
26_1_2_20170104015910819.jpg,26,33.1,27.5,7.1,male
29_0_4_20170103235516820.jpg,29,38.2,69.7,9.2,male
35_1_1_20170109132740903.jpg,35,53.2,53.8,18.2,female
39_1_0_20170103182742753.jpg,39,38.1,68.6,-0.9,male
3_0_4_20170103202821873.jpg,3,40.4,26.1,37.4,female
46_1_0_20170105172417134.jpg,46,25.2,0,-20.8,male
47_0_0_20170104211830788.jpg,47,50.9,48.8,3.9,female
59_1_0_20170110122554230.jpg,59,26.3,0,-32.7,female
5_1_0_20170109191946614.jpg,5,21.4,0,16.4,female
66_1_0_20170110140413980.jpg,66,58.7,65.6,-7.3,female
67_0_3_20161220221736930.jpg,67,68.1,86,1.1,female
76_1_0_20170110140935777.jpg,76,66.7,82.9,-9.3,female
7_1_1_20170109194708063.jpg,7,55.5,58.8,48.5,female
80_0_0_20170111200927317.jpg,80,73.8,98.4,-6.2,female
85_1_0_20170110181953748.jpg,85,51.5,50.1,-33.5,female
59_0_0_20170111203905144.jpg,59,27.8,0,-31.2,male
