filename,actual_age,raw_prediction,calibrated_prediction,error,gender
10_1_0_20170109204617417.jpg,10,26.5,20,16.5,female
12_1_0_20170109205104124.jpg,12,26.1,24.4,14.1,male
14_1_0_20170103201911744.jpg,14,26.1,13.5,12.1,female
18_0_0_20170110231625906.jpg,18,26.5,20,8.5,male
19_1_3_20170104221847479.jpg,19,25.3,18.7,6.3,female
26_1_2_20170104015910819.jpg,26,26.7,25.8,0.7,male
29_0_4_20170103235516820.jpg,29,26.6,25.4,-2.4,male
35_1_1_20170109132740903.jpg,35,26.5,13.6,-8.5,female
39_1_0_20170103182742753.jpg,39,25,18.4,-14,male
3_0_4_20170103202821873.jpg,3,27.1,13.6,24.1,female
46_1_0_20170105172417134.jpg,46,25.8,23.8,-20.2,male
47_0_0_20170104211830788.jpg,47,26.3,19.8,-20.7,female
59_1_0_20170110122554230.jpg,59,27.3,13.6,-31.7,female
5_1_0_20170109191946614.jpg,5,25.5,13.5,20.5,female
66_1_0_20170110140413980.jpg,66,26.6,20.1,-39.4,female
67_0_3_20161220221736930.jpg,67,27.8,13.6,-39.2,female
76_1_0_20170110140935777.jpg,76,25.2,13.5,-50.8,female
7_1_1_20170109194708063.jpg,7,25.8,19.2,18.8,female
80_0_0_20170111200927317.jpg,80,28.7,13.7,-51.3,female
85_1_0_20170110181953748.jpg,85,27.1,13.6,-57.9,female
89_1_3_20170109150838156.jpg,89,29.7,23.5,-59.3,male
